Ticket ID,Epic/Area,Priority,Title,Description,Acceptance Criteria,Notes/Dependencies,Completion Status,Hunter Development Notes,Source
CRM-REC-101,Reconciliation / Flex Matching,P0,Prevent premature flex child creation during match preview,"Stop the system from creating flex child schedules during preview, option selection, or any interim matching step. The client only wants base schedules visible in Suggested Matches until the user explicitly chooses Option C and confirms.","- No flex child schedule is created during preview, option selection, or intermediate steps.
- Suggested Matches shows only valid base schedules before confirmation (example: 12698 and 12699, not 12698.1 / 12698.2).
- A flex child is created only after the user selects Option C and clicks Confirm & Apply.",Release blocker. Closely tied to legacy cleanup and Option C workflow.,Not Started,Keep preview state in memory only. Do not persist child schedules until final confirm action.,Reconciliation Maching Issues and Workflow.docx - Known Bugs; Rob Feedback 03_20.docx
CRM-REC-102,Reconciliation / Data Cleanup,P0,Retire FLEX- naming and clean legacy flex records,"Remove the old FLEX- prefixed record path and standardize all new flex child schedules to [parent].[sequence] format. Clean or migrate existing FLEX-12698 qty 0 records so they stop polluting matches.","- New code never creates FLEX- prefixed schedules.
- Existing FLEX- records are either migrated to .sequence naming or deleted if orphaned / invalid.
- Qty 0 legacy flex records no longer appear in Suggested Matches or normal schedule views.",Supersedes older FLEX- or -flex style guidance. Coordinate with Option C and flex-report visibility rules.,Not Started,Add a one-time migration / cleanup script. Validate parent references before deleting; preserve audit history if records are migrated.,Reconciliation Maching Issues and Workflow.docx - Known Bugs + Scenario C; Rob Feedback 03_20.docx
CRM-REC-103,Reconciliation / Undo & Reversal,P0,Cascade undo/unmatch cleanup for flex children and adjustment records,"Unmatch must fully reverse every artifact created by the same match group, including schedule_adjustments and any child flex schedules.","- Unmatch deletes schedule_adjustments created by the same match_group.
- Unmatch deletes any child flex schedule created by the same match_group.
- Reversed items no longer appear in Suggested Matches or later workflows.",Depends on match_group metadata ticket.,Not Started,Store resolution_type and created object ids per match_group so undo targets only the records created by that action.,Reconciliation Maching Issues and Workflow.docx - Known Bugs + Scenarios A/B/C
CRM-REC-104,Reconciliation / Match Quality,P1,Investigate and suppress duplicate suggested schedule 12710,Client flagged 12710 as a second 100%-confidence suggestion beside 12698. Determine whether 12710 is a legitimate alternate schedule or a duplicate and update suggestion logic accordingly.,"- Investigation outcome is documented.
- If 12710 is a duplicate, it is suppressed from Suggested Matches.
- If 12710 is legitimate, the UI / logic clearly distinguishes why it is shown and when the user should choose it.","ASSUMED: keep current behavior unchanged until duplicate status is confirmed, because the source doc says it may be legitimate.",Not Started,"Compare opportunity product, account, dates, and source ids for 12710 vs 12698 before suppressing anything.",Reconciliation Maching Issues and Workflow.docx - Known Bugs; Rob Feedback 03_20.docx
CRM-REC-105,Reconciliation / Data Model,P0,Extend match_group metadata for reversible variance actions,"Add the persistence needed to fully reverse Scenario A/B/C actions and any future multi-step variance flows.","- match_group stores resolution_type.
- match_group stores created / affected object ids needed for undo (ASSUMED: child_schedule_ids, adjustment ids, schedules_updated).
- Undo can target only records created by that match group without affecting older records.","Foundational dependency for CRM-REC-103, 106, 107, and 108.",Not Started,Schema update likely required. Include created adjustment ids and child_schedule_id(s) even if the exact field names differ from the ticket wording.,Reconciliation Maching Issues and Workflow.docx - Known Bugs + Developer Notes
CRM-REC-106,Reconciliation / Variance Resolution,P0,Implement Scenario A - Adjust this schedule only,"For one-time price differences, create a single adjustment record on the current schedule only. Price each must stay unchanged.","- Step 1 highlights Option A and enables Apply Match.
- Step 2 shows an adjustment record created on the current schedule only; price each unchanged; future schedules unchanged.
- On apply, a schedule_adjustments row is created, exp_usage_net and exp_comm_net recalc for the current schedule only, and Step 3 shows line-by-line confirmation.
- On undo, only the adjustment record created by this match group is deleted.",Uses the adjustment ledger model. Supersedes older wording that implied price_each edits.,Not Started,INSERT schedule_adjustments with applied_to='this_schedule_only'. Do not mutate price_each.,Reconciliation Maching Issues and Workflow.docx - Scenario A; Rob Feedback 03_20.docx
CRM-REC-107,Reconciliation / Variance Resolution,P0,Implement Scenario B - Adjust this and all future schedules,"For permanent price changes, create one adjustment record on the current schedule and one record on every future schedule in the same opportunity product chain. Price each stays unchanged on all schedules.","- Option B explicitly names next schedule 12699 in the button, confirmation, and success states.
- System identifies current + future schedules by opportunity product and schedule_date ascending.
- One independent adjustment record is created per affected schedule; exp_usage_net and exp_comm_net recalc per schedule; price_each stays unchanged.
- If prior adjustments exist, new records are appended rather than overwritten.
- Undo deletes only the adjustment records created by this match group.",Depends on CRM-REC-105 and CRM-REC-110. Latest doc prefers adjustment ledger model over absorbing into price_each.,Not Started,Query schedules >= current schedule date; write applied_to='forward_adjustment'; store schedules_updated in match_group.,Reconciliation Maching Issues and Workflow.docx - Scenario B; Rob Feedback 03_20.docx
CRM-REC-108,Reconciliation / Variance Resolution,P0,Implement Scenario C - Create flex child schedule,"For unresolved overages, keep the parent schedule fully reconciled and create a child flex schedule for only the overage amount and commission.","- Option C button shows the proposed child schedule number before confirm (example: 12698.1).
- Step 2 shows the base schedule + new child schedule and total matches the deposit line.
- On apply, a child schedule is created in [parent].[sequence] format with pending_resolution status; parent schedule is unchanged.
- Child schedule is hidden from normal schedule lists and appears only in the Flex Schedule Report and parent detail view.
- Step 3 includes next-steps guidance for later resolution; undo deletes the child schedule.","Depends on CRM-REC-101, 102, 103, and 105. Latest spec deprecates FLEX- prefix.",Not Started,"Create RevenueSchedule with parent_schedule_id, schedule_number='12698.1', type='flex', actual_usage / commission from overage only.",Reconciliation Maching Issues and Workflow.docx - Scenario C + Known Bugs; Rob Feedback 03_20.docx
CRM-REC-109,Reconciliation / UX Copy & States,P1,"Refresh variance popup copy, option states, and confirmation messaging",Update Step 2 and Step 3 language across all three scenarios so the UI reflects the adjustment ledger model and clearly explains what changed.,"- Apply Match stays disabled until the user selects one of the three options.
- Step 2 / Step 3 copy uses ""adjustment record created"" language and explicitly states that price each is unchanged where applicable.
- Success panels show one line per meaningful change and use plain English.
- Option B explicitly names 12699; Option C shows the proposed child schedule number.
- Undo returns the user to Step 2; Applied returns to reconciliation.","Shared UX layer for Scenarios A/B/C. Use the March 2026 copy, not older modal text.",Not Started,Treat this as a shared content/state component rather than duplicating copy rules inside each scenario implementation.,Rob Feedback 03_20.docx; Reconciliation Maching Issues and Workflow.docx - Key Design Principles + Scenarios
CRM-REC-110,Reconciliation / Adjustment Ledger,P0,Support odd-amount and multi-unit adjustments as total-dollar ledger entries,"When an overage does not divide evenly by quantity, store the total adjustment amount as a separate record and never round it into price each.","- System stores the total adjustment amount (example: +$2.33) as a single adjustment record, not per-unit math.
- Price each never changes because of uneven division.
- Multiple future adjustments accumulate as separate dated, sourced records.
- Step 3 always displays total dollar amounts, never per-unit math.
- Audit trail can reconstruct base amount + all adjustments for any schedule.",Supersedes earlier approaches that baked overages into price_each. Critical for multi-unit and long-term contracts.,Not Started,Keep adjustment history additive and source-linked. Never normalize uneven adjustments into rounded unit pricing.,Rob Feedback 03_20.docx; Reconciliation Maching Issues and Workflow.docx - Odd Amounts / Multi-Unit Section
CRM-RS-101,Revenue Schedules / Change Start Date,P1,Add inline current vs new date comparison columns in Manage Schedules,Redesign the Change Start Date schedule grid so users can compare current and proposed dates in one place without scrolling to a separate preview area.,"- ""Schedule Date"" is renamed to ""Current Schedule Date"" and moved next to Revenue Schedule #.
- A new ""New Schedule Date"" column appears immediately to the right of Current Schedule Date.
- A new ""Status"" column shows Ready / Collision for each row.
- Valid new dates are visually highlighted in amber and status shows Ready in green.",Foundation for live collision UX.,Completed,Implemented in the dedicated Change Start Date table. Current/New/Status now render inline in the modal and the old bottom-only preview dependency was removed for this flow. Verified by npm test and npm run build; DB-backed integration/UAT still pending.,Changing Rev Sch Start Dates Error.docx - Changes Required; Rob Feedback 03_20.docx
CRM-RS-102,Revenue Schedules / Change Start Date,P0,Run live collision detection with per-row status and plain-English errors,"Detect date collisions as the user types and surface exactly which schedules conflict, without raw UUIDs or opaque error text.","- Collision detection runs on New Start Date input / change, not just submit.
- Any colliding row gets red New Schedule Date styling and a Collision status badge.
- Error box lists conflicting dates in plain English using: ""[new date] conflicts with an existing schedule ([schedule number]) for this product.""
- No UUIDs or database identifiers are shown to users.",Depends on CRM-RS-101 grid changes.,Completed,Implemented shared preview/apply rules plus a preview API so collision checking runs live from backend rules. Per-row Collision states and plain-English conflict summaries now use schedule numbers and dates only; no raw ids are exposed. Verified by npm test and npm run build; DB-backed integration/UAT still pending.,Changing Rev Sch Start Dates Error.docx - Developer Notes; Rob Feedback 03_20.docx
CRM-RS-103,Revenue Schedules / Change Start Date,P0,Disable Apply Change while any collision exists,Prevent invalid schedule shifts from being submitted when the modal is already showing a collision state.,"- Apply Change is disabled / grayed out whenever any selected row is in collision state.
- The button re-enables automatically once all collisions are resolved.
- Users cannot submit the modal while an unresolved collision exists.",Client called this out explicitly as a UX / safety issue.,Completed,Apply Change is now disabled while preview is loading while required fields are missing and whenever preview reports blocking reasons or row collisions. Apply route also revalidates server-side before commit. Verified by npm test and npm run build; DB-backed integration/UAT still pending.,Changing Rev Sch Start Dates Error.docx - Changes Required + Collision State
CRM-RS-104,Revenue Schedules / Change Start Date,P1,Redesign Change Start Date input layout and preview summary,Clean up the modal layout so the start date inputs and preview summary are visually grouped and easier to review in both normal and error states.,"- Left column contains New Start Date and Reason with required asterisks.
- Right column contains shift summary preview with selected count, baseline date, new start date, delta months, and explanatory note.
- Preview section is renamed ""Date shift preview - confirm before applying.""
- Reason is a multi-line textarea with minimum height 56px.
- Layout spacing is consistent in both normal and collision states.",Works with CRM-RS-101 / 102 / 103 as one redesigned modal package.,Completed,Implemented the two-column layout for inputs and summary kept the summary persistent while editing updated the preview section label and switched the reason input to a larger multiline field. Verified by npm test and npm run build; DB-backed integration/UAT still pending.,Changing Rev Sch Start Dates Error.docx - Layout Spec; Rob Feedback 03_20.docx
